trapped.pig.uniq.id,uniq.group,trial,group.trapped.pig.order,pot.helper.uniq.id,pot.helper.response,related,pot.helper.helped.by.trapped.before,trapped.before,trapped.pig.helped.others.before,pothelper.sex,test.dur.look.s.per.min,pretrial.rate.curio.min,pretrial.open.yn,train.rate.curio.min,train.rate.open,lat.helped.min,test.dur.look.window,test.count.look.window,test.curios.score,pretrial.curio.yn,trapped.pig.sow,trapped.pig.sex,test.count.look.per.testmin,test.rate.curio.min,pretrial.rate.open.min,pothelper.mom
DG2_W_2,DG2_W,DG2_W2_090920,5,DG2_W_9,1,No,No,Yes,n,Female,25.88421883,0.309193349,Yes,0.308333334,0.083333333,0.210166667,5.44,2,0,1,6142,w,9.516256924,0,0.09291997,5764
DG2_W_8,DG2_W,DG2_W8_090920,6,DG2_W_1,0,No,Yes,Yes,y,Male,0,0,No,0.183333334,0.033333333,NA,NA,NA,NA,0,5764,w,0,0,0,6142
DG2_W_8,DG2_W,DG2_W8_090920,6,DG2_W_2,0,No,No,Yes,y,Female,26.18932873,1.808219178,No,0.316666667,0.091666667,0.484166667,12.68,3,0,1,5764,w,6.196213421,0,0,6142
DG2_W_8,DG2_W,DG2_W8_090920,6,DG2_W_3,0,No,No,No,y,Female,0,0,No,0.216666667,0.033333333,NA,NA,NA,NA,0,5764,w,0,0,0,6142
DG2_W_8,DG2_W,DG2_W8_090920,6,DG2_W_4,0,No,No,Yes,y,Male,0,0.328767123,No,0.291666667,0.175,0.484166667,0,0,0,1,5764,w,0,0,0,5931
DG2_W_8,DG2_W,DG2_W8_090920,6,DG2_W_5,0,No,Yes,Yes,y,Male,0,0,No,0.266666667,0.125,NA,NA,NA,NA,0,5764,w,0,0,0,5931
DG2_W_8,DG2_W,DG2_W8_090920,6,DG2_W_9,1,Yes,Yes,Yes,y,Female,2.31325301,0.164383562,No,0.308333334,0.083333333,0.484166667,1.12,1,0,1,5764,w,2.065404474,0,0,5764
DG2_W_3,DG2_W,DG2_W3_100920,7,DG2_W_1,0,Yes,No,Yes,n,Male,0,0,No,0.183333334,0.033333333,NA,NA,NA,NA,0,6142,w,0,0,0,6142
DG2_W_3,DG2_W,DG2_W3_100920,7,DG2_W_2,0,Yes,No,Yes,n,Female,31.12758076,0,No,0.316666667,0.091666667,0.314833333,9.8,2,0,0,6142,w,6.352567503,0,0,6142
DG2_W_3,DG2_W,DG2_W3_100920,7,DG2_W_4,0,No,No,Yes,n,Male,0,0,No,0.291666667,0.175,NA,NA,NA,NA,0,6142,w,0,0,0,5931
DG2_W_3,DG2_W,DG2_W3_100920,7,DG2_W_5,0,No,No,Yes,n,Male,0,0,No,0.266666667,0.125,NA,NA,NA,NA,0,6142,w,0,0,0,5931
