trapped.pig.unique.id,context,cort,dur.trapped.min,distress.num,distress.rate,invest.sq.z,dur.separated,sample.time.hr,unique.group,sex,trapped.date,test.day,daily.test.order.within.group,outcome
DG4_W_10,pre,7.869,2.146666667,4,1.863354037,0.696816621,6.223333333,8.583333333,DG4_W,w,30.11.20,1,1,Helped
DG4_W_6,post,6.973,2.849333333,2,0.701918578,0.591948185,5.668666667,10.93333333,DG4_W,m,30.11.20,1,2,Helped
DG4_W_6,pre,4.726,2.849333333,2,0.701918578,0.591948185,5.668666667,9.6,DG4_W,m,30.11.20,1,2,Helped
DG4_W_5,post,7.55,11.45333333,12,1.047729919,-0.57083609,5.847333333,13.21666667,DG4_W,w,01.12.20,2,1,Helped
DG4_W_5,pre,3.451,11.45333333,12,1.047729919,-0.57083609,5.847333333,10.75,DG4_W,w,01.12.20,2,1,Helped
DG4_W_9,post,7.38,1.982666667,0,0,0.013008227,9.128,14.58333333,DG4_W,w,01.12.20,2,2,Helped
DG4_W_9,pre,2.727,1.982666667,0,0,0.013008227,9.128,10.75,DG4_W,w,01.12.20,2,2,Helped
DG4_W_4,post,4.575,3.98,6,1.507537688,-0.006609531,5.792,10.5,DG4_W,w,02.12.20,3,1,Helped
DG4_W_4,pre,3.383,3.98,6,1.507537688,-0.006609531,5.792,8.333333333,DG4_W,w,02.12.20,3,1,Helped
DG4_W_1,post,7.203,7.586,11,1.450039547,0.162625768,6.026,11.41666667,DG4_W,m,02.12.20,3,2,Helped
DG4_W_1,pre,7.734,7.586,11,1.450039547,0.162625768,6.026,8.416666667,DG4_W,m,02.12.20,3,2,Helped
DG4_W_7,post,5.898,0.850666667,0,0,0.268818758,5.763333333,13.08333333,DG4_W,m,03.12.20,4,1,Helped
DG4_W_7,pre,4.731,0.850666667,0,0,0.268818758,5.763333333,10.83333333,DG4_W,m,03.12.20,4,1,Helped
DG4_W_2,post,8.999,2.118666667,1,0.471994965,-0.292802014,5.900666667,14,DG4_W,m,03.12.20,4,2,Helped
DG4_W_2,pre,6.187,2.118666667,1,0.471994965,-0.292802014,5.900666667,10.83333333,DG4_W,m,03.12.20,4,2,Helped
DG4_W_3,post,5.348,2.444666667,5,2.045268612,-0.680071209,5.901333333,10.16666667,DG4_W,m,04.12.20,5,1,Helped
DG4_W_3,pre,4.152,2.444666667,5,2.045268612,-0.680071209,5.901333333,8.25,DG4_W,m,04.12.20,5,1,Helped
DG4_W_8,post,4.571,16.966,5,0.294707061,-1.274925083,6.062,11.5,DG4_W,w,04.12.20,5,2,Helped
DG4_W_8,pre,4.662,16.966,5,0.294707061,-1.274925083,6.062,8.25,DG4_W,w,04.12.20,5,2,Helped
DG5_F_8,post,11.507,4.610666667,8,1.735106998,0.21149248,5.700666667,10.13333333,DG5_F,m,01.02.21,1,1,Helped
DG5_F_8,pre,4.998,4.610666667,8,1.735106998,0.21149248,5.700666667,8.633333333,DG5_F,m,01.02.21,1,1,Helped
DG5_F_10,post,6.104,6.76,2,0.295857988,-0.270303442,5.704666667,11.16666667,DG5_F,w,01.02.21,1,2,Helped
DG5_F_10,pre,4.572,6.76,2,0.295857988,-0.270303442,5.704666667,8.633333333,DG5_F,w,01.02.21,1,2,Helped
DG5_F_3,post,5.711,1.737333333,4,2.302379126,0.355530399,7.804666667,12.3,DG5_F,w,02.02.21,2,1,Helped
DG5_F_3,pre,2.081,1.737333333,4,2.302379126,0.355530399,7.804666667,10.6,DG5_F,w,02.02.21,2,1,Helped
DG5_F_4,post,4.471,4.880666667,4,0.819560169,-0.404205491,5.749333333,13.08333333,DG5_F,w,02.02.21,2,2,Helped
DG5_F_4,pre,4.31,4.880666667,4,0.819560169,-0.404205491,5.749333333,10.6,DG5_F,w,02.02.21,2,2,Helped
DG5_F_1,post,3.493,20,11,0.55,-1.907680133,5.75,10.7,DG5_F,m,03.02.21,3,1,Not helped
DG5_F_1,pre,3.31,20,11,0.55,-1.907680133,5.75,8.5,DG5_F,m,03.02.21,3,1,Not helped
DG5_F_2,post,3.139,2.772666667,6,2.163981726,-0.169666405,7.132,11.66666667,DG5_F,m,03.02.21,3,2,Helped
DG5_F_2,pre,2.518,2.772666667,6,2.163981726,-0.169666405,7.132,8.5,DG5_F,m,03.02.21,3,2,Helped
DG5_F_9,post,9.449,6.420666667,17,2.647700135,-0.750571299,5.787333333,11.75,DG5_F,w,04.02.21,4,1,Helped
DG5_F_9,pre,5.252,6.420666667,17,2.647700135,-0.750571299,5.787333333,10.41666667,DG5_F,w,04.02.21,4,1,Helped
DG5_F_5,post,9.321,2.399333333,2,0.833564879,-0.652047832,5.732,12.5,DG5_F,w,04.02.21,4,2,Helped
DG5_F_5,pre,6.744,2.399333333,2,0.833564879,-0.652047832,5.732,10.41666667,DG5_F,w,04.02.21,4,2,Helped
DG5_F_7,post,12.312,0.634,4,6.309148265,1.742521271,5.808666667,9.916666667,DG5_F,m,05.02.21,5,1,Helped
DG5_F_7,pre,7.096,0.634,4,6.309148265,1.742521271,5.808666667,8.5,DG5_F,m,05.02.21,5,1,Helped
DG5_F_6,post,13.774,20,9,0.45,-1.177973526,5.572666667,11.08333333,DG5_F,m,05.02.21,5,2,Not helped
DG5_F_6,pre,6.592,20,9,0.45,-1.177973526,5.572666667,8.5,DG5_F,m,05.02.21,5,2,Not helped
DG5_W_3,post,9.494,11.268,10,0.887468939,0.206446601,5.768666667,13.41666667,DG5_W,w,01.02.21,1,1,Helped
DG5_W_3,pre,7.873,11.268,10,0.887468939,0.206446601,5.768666667,11.25,DG5_W,w,01.02.21,1,1,Helped
DG5_W_8,post,11.358,0.280666667,0,0,1.501798957,5.701333333,14.28333333,DG5_W,m,01.02.21,1,2,Helped
DG5_W_8,pre,6.143,0.280666667,0,0,1.501798957,5.701333333,11.25,DG5_W,m,01.02.21,1,2,Helped
DG5_W_6,post,8.118,0.722666667,0,0,1.836668891,5.804666667,9.8,DG5_W,m,02.02.21,2,1,Helped
DG5_W_6,pre,5.351,0.722666667,0,0,1.836668891,5.804666667,8.5,DG5_W,m,02.02.21,2,1,Helped
DG5_W_4,post,9.094,1.287333333,2,1.553599172,0.558518288,5.699333333,10.55,DG5_W,w,02.02.21,2,2,Helped
DG5_W_4,pre,4.609,1.287333333,2,1.553599172,0.558518288,5.699333333,8.5,DG5_W,w,02.02.21,2,2,Helped
DG5_W_7,post,9.917,1.714666667,2,1.166407465,1.776115943,5.735333333,13.43333333,DG5_W,m,03.02.21,3,1,Helped
DG5_W_7,pre,5.812,1.714666667,2,1.166407465,1.776115943,5.735333333,11.7,DG5_W,m,03.02.21,3,1,Helped
DG5_W_2,post,8.372,5.184,1,0.192901235,-0.860296814,5.976,15.26666667,DG5_W,m,04.02.21,3,2,Helped
DG5_W_2,pre,12.421,5.184,1,0.192901235,-0.860296814,5.976,11.7,DG5_W,m,04.02.21,3,2,Helped
DG5_W_10,post,9.385,0.16,0,0,-3.107355359,6.590666667,9.583333333,DG5_W,w,04.02.22,4,1,Helped
DG5_W_10,pre,5.828,0.16,0,0,-3.107355359,6.590666667,8.533333333,DG5_W,w,04.02.22,4,1,Helped
DG5_W_9,post,8.508,2.772666667,12,4.327963452,0.950367324,5.696,10.33333333,DG5_W,w,04.02.21,4,2,Helped
DG5_W_9,pre,5.134,2.772666667,12,4.327963452,0.950367324,5.696,8.533333333,DG5_W,w,04.02.21,4,2,Helped
DG5_W_1,post,8.612,0.361333333,0,0,2.411078071,5.700666667,12.75,DG5_W,m,05.02.21,5,1,Helped
DG5_W_1,pre,2.415,0.361333333,0,0,2.411078071,5.700666667,11.13333333,DG5_W,m,05.02.21,5,1,Helped
DG5_W_5,post,6.176,1.778,0,0,-0.039684792000000003,6.094666667,13.75,DG5_W,w,05.02.21,5,2,Helped
DG5_W_5,pre,2.006,1.778,0,0,-0.039684792000000003,6.094666667,11.13333333,DG5_W,w,05.02.21,5,2,Helped
