trapped.pig.uniq.id,pot.helper.uniq.id,trial,uniq.group,Test_subj.opens.testbox,Test_subj.opens.emptybox.to20,Sep_numtimes.open.testbox,Sep_numtimes.open.emptybox,Sep_rate.open.testbox_permin,Sep_rate.open.emptybox_permin,Sep.open.any.yn,related,trapped.before,pothelper.sex,train.rate.curio.min,train.rate.open.anybox,dur.look.testwindow.s,rate.look.testwindow.s.per.min,prop.look.test.window,lat.helped.min,dur.look.emptywindow.s,rate.look.emptywindow.s.per.min,prop.look.emptywindow,trapped.pig.sow,trapped.pig.sex,pothelper.mom,location.test.box,date,daily.test.order.bothgroups,daily.test.order.within.group,group.test.order,test.day,Sep_rate.open.anybox
DG2_W_2,DG2_W_1,DG2_W2_090920,DG2_W,0,0,0,0,0,0,0,y,y,Male,0.183333334,0.033333333,7.16,34.06819979,0.56780333,0.210166667,0,0,0,6142,w,6142,FG,09.09.20,3.3,1,5,3,0
DG2_W_2,DG2_W_3,DG2_W2_090920,DG2_W,0,0,0,0,0,0,0,y,n,Female,0.216666667,0.033333333,0,0,0,0.210166667,0,0,0,6142,w,6142,FG,09.09.20,3.3,1,5,3,0
DG2_W_2,DG2_W_4,DG2_W2_090920,DG2_W,0,0,0,1,0,0.10306445,1,n,y,Male,0.291666667,0.175,0,0,0,0.210166667,0,0,0,6142,w,5931,FG,09.09.20,3.3,1,5,3,0.10306445
DG2_W_2,DG2_W_5,DG2_W2_090920,DG2_W,0,0,0,0,0,0,0,n,y,Male,0.266666667,0.125,0,0,0,0.210166667,0,0,0,6142,w,5931,FG,09.09.20,3.3,1,5,3,0
DG2_W_2,DG2_W_8,DG2_W2_090920,DG2_W,0,1,0,1,0,0.10306445,1,n,n,Female,0.175,0.041666667,7.04,33.49722437,0.558287073,0.210166667,0,0,0,6142,w,5764,FG,09.09.20,3.3,1,5,3,0.10306445
DG2_W_2,DG2_W_9,DG2_W2_090920,DG2_W,1,0,1,1,0.10306445,0.10306445,1,n,y,Female,0.308333334,0.083333333,5.44,25.88421883,0.431403647,0.210166667,0,0,0,6142,w,5764,FG,09.09.20,3.3,1,5,3,0.2061289
DG2_W_3,DG2_W_1,DG2_W3_100920,DG2_W,0,0,0,0,0,0,0,y,y,Male,0.183333334,0.033333333,0,0,0,0.210166667,0,0,0,6142,w,6142,ZG,10.09.20,4.1,1,7,4,0
DG2_W_3,DG2_W_2,DG2_W3_100920,DG2_W,0,0,0,0,0,0,0,y,y,Female,0.316666667,0.091666667,9.8,31.12758076,0.518793013,0.314833333,0,0,0,6142,w,6142,ZG,10.09.20,4.1,1,7,4,0
DG2_W_3,DG2_W_4,DG2_W3_100920,DG2_W,0,0,0,0,0,0,0,n,y,Male,0.291666667,0.175,0,0,0,0.314833333,0,0,0,6142,w,5931,ZG,10.09.20,4.1,1,7,4,0
DG2_W_3,DG2_W_5,DG2_W3_100920,DG2_W,0,0,0,0,0,0,0,n,y,Male,0.266666667,0.125,0,0,0,0.314833333,0,0,0,6142,w,5931,ZG,10.09.20,4.1,1,7,4,0
DG2_W_3,DG2_W_8,DG2_W3_100920,DG2_W,0,0,0,1,0,0.166389351,1,n,y,Female,0.175,0.041666667,9.64,30.61937536,0.510322923,0.314833333,0,0,0,6142,w,5764,ZG,10.09.20,4.1,1,7,4,0.166389351
DG2_W_3,DG2_W_9,DG2_W3_100920,DG2_W,1,0,0,0,0,0,0,n,y,Female,0.308333334,0.083333333,7.6,24.13975651,0.402329275,0.314833333,0,0,0,6142,w,5764,ZG,10.09.20,4.1,1,7,4,0
DG2_W_4,DG2_W_1,DG2_W4_070920,DG2_W,0,0,0,1,0,0.132251807,1,n,y,Male,0.183333334,0.033333333,0,0,0,0.9475,0,0,0,5931,m,6142,FG,07.09.20,1.4,2,2,1,0.132251807
DG2_W_4,DG2_W_2,DG2_W4_070920,DG2_W,0,0,0,0,0,0,0,n,n,Female,0.316666667,0.091666667,0,0,0,0.9475,0,0,0,5931,m,6142,FG,07.09.20,1.4,2,2,1,0
DG2_W_4,DG2_W_3,DG2_W4_070920,DG2_W,0,1,0,1,0,0.132251807,1,n,n,Female,0.216666667,0.033333333,21.12,22.29023747,0.371503958,0.9475,0,0,0,5931,m,6142,FG,07.09.20,1.4,2,2,1,0.132251807
DG2_W_4,DG2_W_5,DG2_W4_070920,DG2_W,0,0,0,0,0,0,0,y,n,Male,0.266666667,0.125,0,0,0,0.9475,0,0,0,5931,m,5931,FG,07.09.20,1.4,2,2,1,0
DG2_W_4,DG2_W_8,DG2_W4_070920,DG2_W,0,0,0,0,0,0,0,n,n,Female,0.175,0.041666667,17.6,18.57519789,0.309586631,0.9475,0,0,0,5931,m,5764,FG,07.09.20,1.4,2,2,1,0
DG2_W_4,DG2_W_9,DG2_W4_070920,DG2_W,1,0,0,0,0,0,0,n,n,Female,0.308333334,0.083333333,34.4,36.3060686,0.605101143,0.9475,0,0,0,5931,m,5764,FG,07.09.20,1.4,2,2,1,0
DG2_W_5,DG2_W_1,DG2_W5_080920,DG2_W,0,0,0,0,0,0,0,n,y,Male,0.183333334,0.033333333,0,0,0,1.356833333,0,0,0,5931,m,6142,FG,08.09.20,2.2,2,4,2,0
DG2_W_5,DG2_W_2,DG2_W5_080920,DG2_W,0,0,0,0,0,0,0,n,n,Female,0.316666667,0.091666667,11.76,8.667239899,0.144453998,1.356833333,0,0,0,5931,m,6142,FG,08.09.20,2.2,2,4,2,0
DG2_W_5,DG2_W_3,DG2_W5_080920,DG2_W,0,0,1,0,0.169071235,0,1,n,n,Female,0.216666667,0.033333333,0,0,0,1.356833333,0,0,0,5931,m,6142,FG,08.09.20,2.2,2,4,2,0.169071235
DG2_W_5,DG2_W_4,DG2_W5_080920,DG2_W,0,0,0,0,0,0,0,y,y,Male,0.291666667,0.175,8.6,6.338287681,0.105638128,1.356833333,0,0,0,5931,m,5931,FG,08.09.20,2.2,2,4,2,0
DG2_W_5,DG2_W_8,DG2_W5_080920,DG2_W,1,1,0,0,0,0,0,n,n,Female,0.175,0.041666667,35.76,26.35548459,0.439258077,1.356833333,0,0,0,5931,m,5764,FG,08.09.20,2.2,2,4,2,0
