trapped.pig.unique.id,id.group,sex,location,helper,condition,compartment,opened.comp,date,daily.test.order.within.group,group.test.order,test.day
DG4_F_8,DG4_F,f,Front,Human,separation,testbox,0,02.12.20,2,6,3
DG4_F_8,DG4_F,f,Side,Human,test,emptybox,0,02.12.20,2,6,3
DG4_F_8,DG4_F,f,Front,Human,test,testbox,0,02.12.20,2,6,3
DG4_F_8,DG4_F,f,Side,Human,separation,emptybox,0,02.12.20,2,6,3
DG4_F_9,DG4_F,f,Front,Human,test,testbox,0,30.11.20,2,2,1
DG4_F_9,DG4_F,f,Side,Human,separation,emptybox,0,30.11.20,2,2,1
DG4_F_9,DG4_F,f,Front,Human,separation,testbox,0,30.11.20,2,2,1
DG4_F_9,DG4_F,f,Side,Human,test,emptybox,1,30.11.20,2,2,1
DG4_W_1,DG4_W,m,Front,Pig,separation,testbox,0,02.12.20,2,6,3
DG4_W_1,DG4_W,m,Front,Pig,test,testbox,1,02.12.20,2,6,3
DG4_W_1,DG4_W,m,Side,Pig,test,emptybox,1,02.12.20,2,6,3
DG4_W_1,DG4_W,m,Side,Pig,separation,emptybox,0,02.12.20,2,6,3
DG4_W_10,DG4_W,f,Side,Pig,test,testbox,1,30.11.20,1,1,1
DG4_W_10,DG4_W,f,Side,Pig,separation,testbox,0,30.11.20,1,1,1
DG4_W_10,DG4_W,f,Front,Pig,separation,emptybox,1,30.11.20,1,1,1
DG4_W_10,DG4_W,f,Front,Pig,test,emptybox,1,30.11.20,1,1,1
DG4_W_2,DG4_W,m,Side,Pig,separation,testbox,0,03.12.20,2,8,4
DG4_W_2,DG4_W,m,Front,Pig,separation,emptybox,1,03.12.20,2,8,4
DG4_W_2,DG4_W,m,Front,Pig,test,emptybox,1,03.12.20,2,8,4
DG4_W_2,DG4_W,m,Side,Pig,test,testbox,1,03.12.20,2,8,4
DG4_W_3,DG4_W,m,Front,Pig,test,emptybox,1,04.12.20,1,9,5
DG4_W_3,DG4_W,m,Side,Pig,separation,testbox,0,04.12.20,1,9,5
DG4_W_3,DG4_W,m,Side,Pig,test,testbox,1,04.12.20,1,9,5
DG4_W_3,DG4_W,m,Front,Pig,separation,emptybox,0,04.12.20,1,9,5
DG4_W_4,DG4_W,f,Side,Pig,test,testbox,1,02.12.20,1,5,3
DG4_W_4,DG4_W,f,Front,Pig,separation,emptybox,0,02.12.20,1,5,3
DG4_W_4,DG4_W,f,Front,Pig,test,emptybox,0,02.12.20,1,5,3
DG4_W_4,DG4_W,f,Side,Pig,separation,testbox,0,02.12.20,1,5,3
DG4_W_5,DG4_W,f,Front,Pig,separation,testbox,0,01.12.20,1,3,2
